onset,offset,role,instrument
116,153,mel,violin1
164,201,mel+harm,violin1
204,209,mel+harm,violin1
214,228,mel+harm,violin1
228,236,mel+harm,violin1
236,242,mel+harm,violin1
262,266,mel+harm,violin1
270,276,mel+harm,violin1
276,286,mel+harm,violin1
290,318,rhythm+harm,violin1
352,398,mel,violin1
398,427,rhythm+harm,violin1
427,431,mel,violin1
433,451,rhythm+harm,violin1
459,463,mel,violin1
464,474,rhythm+harm,violin1
474,491,rthythm,violin1
498,502,rhythm+harm,violin1
517,589,mel+harm,violin1
588,636,mel,violin1
636,652,harm,violin1
664,665,mel,violin1
666,721,rhythm+harm,violin1
735,767,rhythm+harm,violin1
767,775,rhythm+harm,violin1
775,814,rthythm,violin1
837,839,harm,violin1
849,852,mel+harm,violin1
857,937,mel+harm,violin1
943,946,mel+harm,violin1
951,954,mel+harm,violin1
959,1086,mel+harm,violin1
1086,1101,rthythm,violin1
1100,1103,rhythm+harm,violin1
1103,1117,rthythm,violin1
1117,1136,rhythm+harm,violin1
1136,1224,mel+harm,violin1
1242,1324,mel+harm,violin1
1361,1405,rthythm,violin1
