onset,offset,role,instrument
156,160,rhythm+harm,horn3
200,213,harm,horn3
232,245,rhythm+harm,horn3
266,270,harm,horn3
274,286,mel,horn3
286,288,harm,horn3
288,290,mel,horn3
290,304,harm,horn3
354,399,harm,horn3
478,502,mel,horn3
514,592,rthythm,horn3
592,634,harm,horn3
664,665,harm,horn3
666,677,rhythm+harm,horn3
679,681,mel+harm,horn3
698,703,mel+harm,horn3
722,728,rhythm+harm,horn3
727,733,rthythm,horn3
754,760,rhythm+harm,horn3
779,812,harm,horn3
843,848,mel+harm,horn3
851,856,rhythm+harm,horn3
859,866,rhythm+harm,horn3
876,880,harm,horn3
884,888,harm,horn3
916,937,rthythm,horn3
944,988,rthythm,horn3
988,992,harm,horn3
992,999,rthythm,horn3
999,1016,rhythm+harm,horn3
1016,1028,rhythm+harm,horn3
1028,1055,rhythm+harm,horn3
1055,1092,rthythm,horn3
1096,1101,harm,horn3
1101,1224,rhythm+harm,horn3
1224,1240,rthythm,horn3
1244,1362,rhythm+harm,horn3
1404,1420,rhythm+harm,horn3
