onset,offset,role,instrument
0,72,harm,bass1
111,116,rhythm+harm,bass1
150,158,harm,bass1
160,165,rhythm+harm,bass1
164,174,harm,bass1
180,198,harm,bass1
198,214,rthythm,bass1
228,229,harm,bass1
230,262,rthythm,bass1
262,312,harm,bass1
354,398,harm,bass1
398,411,rthythm,bass1
414,499,harm,bass1
514,636,rthythm,bass1
664,703,rthythm,bass1
719,737,harm,bass1
751,758,mel+harm,bass1
759,772,harm,bass1
779,892,rthythm,bass1
916,937,rthythm,bass1
948,972,rthythm,bass1
974,992,harm,bass1
992,1053,rhythm+harm,bass1
1055,1071,rthythm,bass1
1071,1089,rhythm+harm,bass1
1089,1428,rthythm,bass1
