onset,offset,role,instrument
90,104,mel,flute1
172,181,mel,flute1
190,197,mel,flute1
200,205,mel,flute1
208,213,mel,flute1
220,223,mel+harm,flute1
224,226,harm,flute1
260,300,mel+harm,flute1
398,430,mel,flute1
447,514,mel,flute1
539,588,mel+harm,flute1
664,665,mel,flute1
679,681,mel+harm,flute1
695,703,mel+harm,flute1
711,717,rhythm,flute1
727,733,rhythm,flute1
737,739,mel,flute1
743,749,rhythm,flute1
763,771,harm,flute1
771,776,harm,flute1
776,814,rhythm,flute1
842,844,harm,flute1
875,892,mel+harm,flute1
975,1087,mel+harm,flute1
1087,1117,rhythm,flute1
1159,1208,mel+harm,flute1
1242,1290,mel+harm,flute1
1314,1318,mel+harm,flute1
1325,1362,rhythm+harm,flute1
1380,1404,mel,flute1
