onset,offset,role,instrument
12,21,harm,viola2
36,45,harm,viola2
64,82,harm,viola2
83,92,rhythm+harm,viola2
125,147,rhythm+harm,viola2
156,164,mel,viola2
164,170,rhythm+harm,viola2
170,174,mel+harm,viola2
173,181,rthythm,viola2
180,214,rhythm+harm,viola2
214,230,rthythm,viola2
229,246,rhythm+harm,viola2
246,250,rthythm,viola2
250,262,mel+harm,viola2
262,266,rhythm+harm,viola2
270,276,rhythm+harm,viola2
276,278,harm,viola2
278,290,mel+harm,viola2
290,294,rhythm+harm,viola2
294,312,harm,viola2
338,350,mel,viola2
368,391,harm,viola2
396,474,rhythm+harm,viola2
474,494,rthythm,viola2
494,502,rhythm+harm,viola2
517,589,mel+harm,viola2
589,636,mel,viola2
636,665,harm,viola2
666,704,rhythm+harm,viola2
704,767,mel+harm,viola2
767,775,mel+harm,viola2
775,817,rthythm,viola2
841,843,harm,viola2
849,852,mel+harm,viola2
856,896,mel+harm,viola2
903,937,mel+harm,viola2
943,946,mel+harm,viola2
951,954,mel+harm,viola2
959,966,mel+harm,viola2
980,1015,mel+harm,viola2
1015,1063,rhythm+harm,viola2
1063,1071,mel+harm,viola2
1071,1101,rthythm,viola2
1101,1103,rhythm+harm,viola2
1116,1136,rhythm+harm,viola2
1136,1224,mel+harm,viola2
1243,1270,rthythm,viola2
1270,1324,mel+harm,viola2
1361,1408,rthythm,viola2
