onset,offset,role,instrument
3,45,mel,bassoon1
55,59,harm,bassoon1
109,112,rhythm+harm,bassoon1
166,170,harm,bassoon1
182,186,mel,bassoon1
196,210,mel,bassoon1
228,235,harm,bassoon1
235,243,mel,bassoon1
243,245,harm,bassoon1
252,260,rhythm+harm,bassoon1
260,273,harm,bassoon1
273,286,mel,bassoon1
286,288,harm,bassoon1
288,290,mel,bassoon1
290,315,harm,bassoon1
354,399,harm,bassoon1
402,418,mel,bassoon1
434,450,mel,bassoon1
450,466,harm,bassoon1
466,482,mel,bassoon1
478,502,harm,bassoon1
502,514,mel,bassoon1
523,589,rthythm,bassoon1
589,634,harm,bassoon1
662,680,mel,bassoon1
680,692,rthythm,bassoon1
696,703,harm,bassoon1
727,733,rthythm,bassoon1
742,744,harm,bassoon1
751,780,mel+harm,bassoon1
780,810,mel,bassoon1
810,820,rthythm,bassoon1
843,859,mel+harm,bassoon1
859,876,rhythm+harm,bassoon1
876,905,harm,bassoon1
906,913,rthythm,bassoon1
980,1002,mel+harm,bassoon1
1003,1004,rhythm+harm,bassoon1
1004,1006,mel+harm,bassoon1
1007,1016,rhythm+harm,bassoon1
1016,1028,mel+harm,bassoon1
1028,1059,rhythm+harm,bassoon1
1059,1071,harm,bassoon1
1071,1089,rhythm+harm,bassoon1
1089,1212,rthythm,bassoon1
1212,1224,mel+harm,bassoon1
1224,1264,rthythm,bassoon1
1264,1290,rhythm+harm,bassoon1
1298,1306,mel+harm,bassoon1
1306,1324,rthythm,bassoon1
1324,1362,rhythm+harm,bassoon1
1380,1408,rhythm+harm,bassoon1
