onset,offset,role,instrument
156,160,rhythm+harm,horn4
200,213,harm,horn4
232,245,rhythm+harm,horn4
266,270,harm,horn4
274,286,mel,horn4
286,288,harm,horn4
288,290,mel,horn4
290,304,harm,horn4
354,399,harm,horn4
514,592,rthythm,horn4
592,634,harm,horn4
664,665,harm,horn4
666,677,rhythm+harm,horn4
679,681,mel+harm,horn4
698,703,mel+harm,horn4
722,728,rhythm+harm,horn4
727,733,rthythm,horn4
754,760,rhythm+harm,horn4
779,812,harm,horn4
843,848,mel+harm,horn4
851,856,rhythm+harm,horn4
859,866,rhythm+harm,horn4
880,884,harm,horn4
888,892,harm,horn4
906,924,rthythm,horn4
944,988,rthythm,horn4
988,992,harm,horn4
992,999,rthythm,horn4
999,1016,rhythm+harm,horn4
1016,1028,rhythm+harm,horn4
1028,1055,rhythm+harm,horn4
1055,1092,rthythm,horn4
1096,1101,harm,horn4
1101,1224,rhythm+harm,horn4
1224,1240,rthythm,horn4
1244,1362,rhythm+harm,horn4
1404,1420,rhythm+harm,horn4
