onset,offset,role,instrument
47,52,mel,oboe1
172,182,mel,oboe1
202,206,harm,oboe1
211,216,harm,oboe1
216,220,rthythm,oboe1
220,232,rhythm+harm,oboe1
232,244,mel,oboe1
243,262,rhythm+harm,oboe1
260,274,mel+harm,oboe1
278,292,mel,oboe1
292,304,harm,oboe1
414,430,mel,oboe1
447,462,mel,oboe1
478,514,mel,oboe1
523,589,rthythm,oboe1
589,606,harm,oboe1
664,665,harm,oboe1
666,703,mel+harm,oboe1
711,717,rthythm,oboe1
720,728,rhythm+harm,oboe1
732,733,rthythm,oboe1
736,741,harm,oboe1
741,744,mel,oboe1
743,749,rthythm,oboe1
753,763,rhythm+harm,oboe1
763,780,mel+harm,oboe1
780,810,mel,oboe1
842,844,harm,oboe1
859,876,rhythm+harm,oboe1
876,894,harm,oboe1
974,992,harm,oboe1
992,998,rthythm,oboe1
998,1006,mel+harm,oboe1
1006,1012,rhythm+harm,oboe1
1016,1040,mel+harm,oboe1
1040,1059,rhythm+harm,oboe1
1059,1067,harm,oboe1
1067,1089,rthythm,oboe1
1090,1101,mel+harm,oboe1
1102,1128,rhythm+harm,oboe1
1144,1152,rhythm+harm,oboe1
1152,1159,mel+harm,oboe1
1159,1192,rhythm+harm,oboe1
1216,1224,rhythm+harm,oboe1
1244,1266,rhythm+harm,oboe1
1266,1274,mel+harm,oboe1
1274,1318,rhythm+harm,oboe1
1380,1400,rhythm+harm,oboe1
