onset,offset,role,instrument
75,82,harm,cello2
83,124,rhythm+harm,cello2
156,167,harm,cello2
167,189,rhythm+harm,cello2
193,198,harm,cello2
198,214,mel,cello2
214,226,rthythm,cello2
226,230,rhythm+harm,cello2
230,262,rthythm,cello2
262,266,harm,cello2
270,276,rhythm+harm,cello2
276,312,harm,cello2
316,339,mel+harm,cello2
352,399,mel,cello2
402,403,rthythm,cello2
406,414,rthythm,cello2
414,450,harm,cello2
450,463,rhythm+harm,cello2
466,502,harm,cello2
514,589,rthythm,cello2
589,664,harm,cello2
664,704,rthythm,cello2
719,737,harm,cello2
751,758,mel+harm,cello2
759,764,harm,cello2
767,772,harm,cello2
775,937,rthythm,cello2
948,949,rthythm,cello2
956,971,rthythm,cello2
974,991,harm,cello2
992,1053,rhythm+harm,cello2
1055,1071,rthythm,cello2
1071,1089,rhythm+harm,cello2
1089,1128,rthythm,cello2
1128,1224,mel+harm,cello2
1224,1270,rthythm,cello2
1270,1290,mel+harm,cello2
1298,1306,mel+harm,cello2
1314,1324,mel+harm,cello2
1361,1425,rthythm,cello2
