onset,offset,key,degree,quality,inversion,roman number
0,21,e,1,m,0,i
21,42,e,1,m7,2,i43
42,43,e,1,m7,2,i43
43,44,e,5,m,0,v
44,45,e,5,m7,0,v7
45,48,e,1,m7,2,i43
48,54,e,1,m7,2,i43
54,55,e,1,m7,2,i43
55,56,e,5,m,0,v
56,57,e,5,m7,0,v7
57,60,e,1,m7,2,i43
60,66,e,1,m,0,i
66,68,e,1,m,0,i
68,69,e,7,M,0,VII
69,72,e,1,m,0,i
72,78,e,1,m,0,i
78,80,e,1,m,0,i
80,81,e,7,M,0,VII
81,84,e,1,m,0,i
84,96,e,1,m7,0,i7
96,98,e,3,a,0,III+
98,99,e,1,m,1,i6
99,101,e,3,a,1,III+6
101,102,e,1,m,0,i
102,103,e,3,a,1,III+6
103,104,e,1,m,1,i6
104,105,e,3,a,2,III+64
105,106,e,1,m,0,i
106,107,e,3,a,2,III+64
107,108,e,1,m,0,i
108,110,e,3,a,0,III+
110,111,e,1,m,0,i
111,113,e,3,a,1,III+6
113,114,e,1,m,1,i6
114,115,e,3,a,1,III+6
115,116,e,1,m,1,i6
116,117,e,3,a,2,III+64
117,118,e,1,m,2,i64
118,119,e,3,a,2,III+64
119,120,e,1,m,2,i64
120,121,e,3,a,2,III+64
121,123,e,1,m,0,i
123,125,e,1,m7,0,i7
125,126,e,6,h7,1,vi=65
126,127,e,4,M,2,IV64
127,129,e,4,m,2,iv64
129,132,e,1,m,0,i
132,135,e,1,m,0,i
135,137,e,1,m7,0,i7
137,138,e,6,h7,1,vi=65
138,139,e,4,M,2,IV64
139,141,e,4,m,2,iv64
141,144,e,1,m,0,i
144,147,e,1,m,0,i
147,149,e,1,m7,0,i7
149,151,e,4,M,2,IV64
151,153,e,4,m,2,iv64
153,156,e,1,m,0,i
156,159,e,1,m,0,i
159,161,e,1,m7,0,i7
161,163,e,4,M,2,IV64
163,164,e,4,m,2,iv64
164,165,e,2,h7,3,ii=42
165,167,e,1,m,0,i
167,168,e,2,h7,3,ii=42
168,170,e,1,m,0,i
170,171,e,2,h7,3,ii=42
171,173,e,1,m,0,i
173,174,e,2,h7,3,ii=42
174,177,e,1,m,0,i
177,198,e,1,m,0,i
198,219,e,1,m7,2,i43
219,220,e,1,m7,2,i43
220,221,e,5,m,0,v
221,222,e,5,m7,0,v7
222,225,e,1,m7,2,i43
225,231,e,1,m7,2,i43
231,232,e,1,m7,2,i43
232,233,e,5,m,0,v
233,234,e,5,m7,0,v7
234,237,e,1,m7,2,i43
237,243,e,1,m,0,i
243,245,e,1,m,0,i
245,246,e,7,M,0,VII
246,249,e,1,m,0,i
249,255,e,1,m,0,i
255,257,e,1,m,0,i
257,258,e,7,M,0,VII
258,261,e,1,m,0,i
261,273,e,1,m7,0,i7
273,275,e,3,a,0,III+
275,276,e,1,m,1,i6
276,278,e,3,a,1,III+6
278,279,e,1,m,0,i
279,280,e,3,a,1,III+6
280,281,e,1,m,1,i6
281,282,e,3,a,2,III+64
282,283,e,1,m,0,i
283,284,e,3,a,2,III+64
284,285,e,1,m,0,i
285,287,e,3,a,0,III+
287,288,e,1,m,0,i
288,290,e,3,a,1,III+6
290,291,e,1,m,1,i6
291,292,e,3,a,1,III+6
292,293,e,1,m,1,i6
293,294,e,3,a,2,III+64
294,295,e,1,m,2,i64
295,296,e,3,a,2,III+64
296,297,e,1,m,2,i64
297,298,e,3,a,2,III+64
298,300,e,1,m,0,i
300,302,e,1,m7,0,i7
302,303,e,6,h7,1,vi=65
303,304,e,4,M,2,IV64
304,306,e,4,m,2,iv64
306,309,e,1,m,0,i
309,312,e,1,m,0,i
312,314,e,1,m7,0,i7
314,315,e,6,h7,1,vi=65
315,316,e,4,M,2,IV64
316,318,e,4,m,2,iv64
318,321,e,1,m,0,i
321,324,e,1,m,0,i
324,326,e,1,m7,0,i7
326,328,e,4,M,2,IV64
328,330,e,4,m,2,iv64
330,333,e,1,m,0,i
333,336,e,1,m,0,i
336,338,e,1,m7,0,i7
338,340,e,4,M,2,IV64
340,341,e,4,m,2,iv64
341,342,e,2,h7,3,ii=42
342,344,e,1,m,0,i
344,345,e,2,h7,3,ii=42
345,347,e,1,m,0,i
347,348,e,2,h7,3,ii=42
348,350,e,1,m,0,i
350,351,e,2,h7,3,ii=42
