onset,offset,role,instrument
0,32,rhythm,violin2
0,32,rhythm,violoncello
0,32,harm,horn
3,7,mel,violin1
7,9,mel,viola
7,9,mel,doublebass
8,32,harm,clarinet1
11,15,mel,violin1
15,17,mel,viola
15,17,mel,doublebass
16,32,harm,oboe1
20,32,harm,flute2
20,32,mel,violin1
23,32,mel,viola
23,32,mel,doublebass
24,32,harm,flute1
26,32,harm,bassoon1
26,32,harm,bassoon2
27,32,harm,oboe2
27,32,harm,clarinet2
28,32,harm,hornB
31,40,mel,flute1
31,40,mel,flute2
31,40,mel,oboe1
31,40,mel,oboe2
31,40,mel,clarinet1
31,40,mel,clarinet2
31,40,mel,bassoon1
31,40,mel,bassoon2
31,40,mel,horn
31,38,rhythm,hornB
31,40,rhythm,trumpet
31,40,rhythm,timpani
31,40,mel,violin1
31,40,mel,violin2
31,40,mel,viola
31,40,mel,violoncello
31,40,mel,doublebass
40,46,mel,flute1
40,46,mel,oboe1
40,46,mel+rhythm+harm,violin1
40,46,mel+rhythm+harm,violin2
40,46,rhythm+harm,flute2
40,46,rhythm+harm,oboe2
40,46,rhythm+harm,clarinet1
40,46,rhythm+harm,clarinet2
40,46,rhythm+harm,bassoon1
40,46,rhythm+harm,bassoon2
40,46,rhythm+harm,horn
40,46,rhythm+harm,hornB
40,47,rhythm+harm,trumpet
40,46,rhythm+harm,timpani
40,46,rhythm+harm,viola
40,46,rhythm+harm,violoncello
40,46,rhythm+harm,doublebass
46,61,mel,flute1
46,61,mel,oboe2
46,61,mel,bassoon1
46,61,mel,bassoon2
46,54,mel,violin1
54,61,rhythm+harm,violin1
46,54,rhythm+harm,flute2
46,54,rhythm+harm,oboe1
46,54,rhythm+harm,clarinet1
46,54,rhythm+harm,clarinet2
46,54,rhythm+harm,horn
46,54,rhythm+harm,hornB
54,61,mel,flute2
54,61,mel,oboe1
54,61,mel,clarinet1
54,61,mel,clarinet2
54,61,harm,horn
46,61,rhythm+harm,violin2
46,61,rhythm+harm,viola
46,61,rhythm+harm,violoncello
46,61,rhythm+harm,doublebass
52,61,rhythm,trumpet
52,61,rhythm,timpani
61,70,rhythm+harm,flute1
61,70,rhythm+harm,flute2
61,70,rhythm+harm,oboe1
61,70,rhythm+harm,oboe2
61,68,rhythm+harm,clarinet1
61,68,rhythm+harm,clarinet2
61,70,rhythm+harm,bassoon1
61,70,rhythm+harm,bassoon2
61,68,rhythm+harm,horn
61,66,rhythm+harm,hornB
61,70,rhythm+harm,trumpet
61,70,rhythm+harm,timpani
61,65,rhythm+harm,violin1
65,70,mel+rhythm,violin1
61,65,rhythm+harm,viola
65,70,mel+rhythm,viola
61,67,rhythm+harm,violin2
61,67,rhythm+harm,violoncello
61,70,rhythm+harm,doublebass
67,100,rhythm,violin2
67,100,rhythm,violoncello
68,100,harm,clarinet1
68,100,harm,clarinet2
68,100,harm,horn
71,75,mel,violin1
75,77,mel,viola
75,77,mel,doublebass
79,83,mel,violin1
83,86,mel,viola
83,86,mel,doublebass
84,100,harm,oboe1
88,100,harm,flute2
88,100,mel,violin1
91,100,mel,violoncello
91,96,mel,doublebass
92,100,harm,flute1
94,100,harm,bassoon1
94,100,harm,bassoon2
94,100,harm,hornB
96,100,harm,oboe2
99,124,mel,flute1
99,124,mel,flute2
99,124,mel,oboe1
99,124,mel,oboe2
99,124,mel,clarinet1
99,124,mel,clarinet2
99,124,mel,bassoon1
99,124,mel,bassoon2
99,124,mel,violin1
99,124,mel,violin2
99,124,mel,viola
99,124,mel,violoncello
99,124,mel,doublebass
99,110,rhythm,horn
114,124,mel,horn
99,110,mel,hornB
110,124,rhythm,hornB
99,114,rhythm,trumpet
99,112,rhythm,timpani
116,124,rhythm,trumpet
116,124,rhythm,timpani
124,134,mel,flute1
124,134,mel,clarinet1
124,134,mel,horn
124,134,mel,violin1
124,134,mel+harm,flute2
124,134,mel+harm,clarinet2
124,134,rhythm,oboe1
124,134,rhythm,oboe2
124,134,rhythm,bassoon1
124,134,rhythm,bassoon2
126,138,rhythm,trumpet
126,138,rhythm,timpani
124,134,rhythm,violin2
124,126,rhythm,viola
126,138,mel,viola
124,132,mel,violoncello
124,132,mel,doublebass
132,138,mel+rhythm,violoncello
132,138,mel+rhythm,doublebass
134,140,mel,flute1
134,140,mel,flute2
134,140,mel,oboe1
134,140,mel,oboe2
134,140,mel,clarinet1
134,140,mel,clarinet2
134,140,mel,bassoon1
134,140,mel,bassoon2
134,138,rhythm,horn
137,140,rhythm,hornB
134,138,mel+rhythm,violin1
134,138,mel+rhythm,violin2
138,146,rhythm,violin1
138,146,rhythm,violin2
138,144,rhythm+harm,viola
144,146,rhythm,viola
138,146,rhythm+harm,violoncello
138,146,rhythm+harm,doublebass
140,146,rhythm+harm,flute1
140,146,rhythm+harm,flute2
140,146,rhythm+harm,oboe1
140,146,rhythm+harm,oboe2
140,146,rhythm+harm,clarinet1
140,146,rhythm+harm,clarinet2
140,146,rhythm+harm,bassoon1
140,146,rhythm+harm,bassoon2
140,146,rhythm+harm,horn
142,146,rhythm+harm,hornB
144,147,rhythm+harm,trumpet
144,147,rhythm+harm,timpani
146,156,mel,flute1
146,158,mel,clarinet1
146,159,mel,clarinet2
146,158,mel,bassoon1
146,159,mel,bassoon2
150,156,mel,oboe1
150,156,mel,oboe2
146,150,harm,hornB
150,154,mel,hornB
154,175,harm,hornB
146,182,rhythm,violin1
146,182,rhythm,violin2
146,182,rhythm,viola
146,166,rhythm,violoncello
146,166,rhythm,doublebass
158,172,mel,clarinet1
158,174,mel,bassoon1
160,167,mel,oboe1
172,175,mel,oboe1
160,184,mel,flute1
158,175,rhythm,horn
174,184,mel+harm,oboe1
174,184,mel+harm,clarinet1
174,184,mel+harm,clarinet2
174,184,mel+harm,bassoon1
174,184,mel+harm,bassoon2
182,188,rhythm,hornB
182,188,mel,violin1
182,188,mel,violin2
182,188,mel,viola
182,188,mel,violoncello
182,188,mel,doublebass
185,188,mel,flute1
185,188,mel,flute2
185,188,mel,oboe1
185,188,mel,oboe2
185,188,mel,clarinet1
185,188,mel,clarinet2
185,188,mel,bassoon1
185,188,mel,bassoon2
187,190,rhythm,horn
188,190,rhythm,bassoon1
188,190,rhythm,bassoon2
188,190,rhythm+harm,flute1
188,190,rhythm+harm,flute2
188,190,rhythm+harm,oboe1
188,190,rhythm+harm,oboe2
188,190,rhythm+harm,clarinet1
188,190,rhythm+harm,clarinet2
188,190,rhythm+harm,horn
188,190,rhythm+harm,hornB
188,190,rhythm+harm,trumpet
188,190,rhythm+harm,timpani
188,190,rhythm+harm,violin1
188,190,rhythm+harm,violin2
188,190,rhythm+harm,viola
188,190,rhythm+harm,violoncello
188,190,rhythm+harm,doublebass
190,202,mel,clarinet1
190,202,mel,clarinet2
190,202,mel,bassoon1
190,202,mel,bassoon2
190,202,mel,violin1
190,202,mel,violin2
190,202,mel,viola
190,202,mel,violoncello
190,202,rhythm,hornB
190,198,rhythm,flute1
194,202,rhythm,horn
194,198,rhythm,oboe1
194,198,rhythm,oboe2
194,202,mel,flute2
198,202,mel,flute1
198,202,mel,oboe1
198,202,mel,oboe2
198,202,mel,doublebass
202,206,mel,flute1
202,206,mel,oboe1
202,206,mel,clarinet1
202,206,mel,horn
202,206,mel,violin1
202,204,rhythm+harm,trumpet
202,204,rhythm+harm,timpani
202,206,rhythm+harm,flute2
202,206,rhythm+harm,oboe2
202,206,rhythm+harm,clarinet2
202,206,rhythm+harm,bassoon1
202,206,rhythm+harm,bassoon2
202,206,rhythm+harm,hornB
202,206,rhythm+harm,violin2
202,206,rhythm+harm,viola
202,206,rhythm+harm,violoncello
202,206,rhythm+harm,doublebass
206,210,mel,clarinet1
206,210,harm,clarinet2
206,210,harm,bassoon1
206,210,harm,bassoon2
210,214,mel,flute1
210,214,mel,oboe1
210,214,mel,clarinet1
210,214,mel,horn
209,214,mel,violin1
210,214,rhythm+harm,trumpet
210,214,rhythm+harm,timpani
210,214,rhythm+harm,flute2
210,214,rhythm+harm,oboe2
210,214,rhythm+harm,clarinet2
210,214,rhythm+harm,bassoon1
210,214,rhythm+harm,bassoon2
210,214,rhythm+harm,hornB
210,214,rhythm+harm,violin2
210,214,rhythm+harm,viola
210,214,rhythm+harm,violoncello
210,214,rhythm+harm,doublebass
214,226,mel,flute1
214,226,mel,violin1
214,226,harm,violin2
214,218,harm,viola
218,226,harm,bassoon1
218,226,rhythm,viola
218,226,rhythm,violoncello
218,226,rhythm,doublebass
226,238,mel+rhythm,violin1
226,238,mel+rhythm,violin2
226,238,mel+rhythm,viola
226,238,mel+rhythm,violoncello
226,238,rhythm+harm,doublebass
226,231,rhythm+harm,flute1
225,231,rhythm+harm,oboe1
226,230,rhythm+harm,bassoon1
226,230,rhythm+harm,bassoon2
229,231,rhythm+harm,clarinet1
229,231,rhythm+harm,clarinet2
230,238,mel,bassoon1
230,238,mel,bassoon2
231,240,mel,oboe1
231,234,mel,clarinet1
231,238,rhythm+harm,hornB
234,258,mel,flute1
238,258,mel,oboe1
240,258,mel,clarinet1
238,258,mel,bassoon1
238,258,harm,horn
238,258,harm,hornB
238,258,rhythm,timpani
238,258,mel,violin1
238,258,mel,violin2
238,258,rhythm+harm,viola
238,258,rhythm+harm,violoncello
238,258,rhythm+harm,doublebass
258,262,mel,oboe1
258,262,mel,oboe2
258,262,mel+rhythm,violin1
258,262,rhythm,flute1
258,262,rhythm,clarinet1
