onset,resolve time,offset,cadence type
162,6,174,AC
219,9,231,HC
270,6,282,AC
411,15,429,AC
585,9,600,AC
645,9,655,HC
699,6,705,AC
837,15,855,AC
1080,21,1104,AC
1164,3,1179,HC
1305,9,1314,AC
1410,3,1428,AC
1460,1,1462,AC
1548,5,1573,AC
1812,12,1827,AC
1887,3,1902,HC
2028,6,2040,AC
2133,3,2151,AC
2183,1,2185,AC
2271,15,2296,AC
2328,3,2332,HC
2355,3,2390,PC
2421,1,2474,HC
2482,3,2494,AC
2580,2,2586,HC
2664,1,2672,AC
2760,2,2770,AC
2792,2,2804,AC
2856,2,2864,HC
2938,3,2948,AC
3066,4,3076,AC
3130,4,3136,AC
3325,9,3338,AC
3385,9,3397,HC
3439,3,3445,AC
3577,15,3595,AC
3751,9,3766,AC
3811,9,3821,HC
3865,3,3871,AC
4003,15,4018,AC
4255,12,4270,AC
4330,3,4345,HC
4471,6,4483,AC
4576,3,4594,AC
4626,1,4628,AC
4714,15,4739,AC
4771,3,4780,HC
4798,3,4833,PC
4849,2,4874,AC
