onset,offset,role,instrument
0,32,mel,violin1
0,29,rhythm,violin2
16,24,harm,viola
16,24,harm,violoncello
16,24,harm,doublebass
24,29,rhythm+harm,viola
24,29,rhythm+harm,violoncello
24,29,rhythm+harm,doublebass
32,74,rhythm+harm,horn1
32,74,rhythm+harm,horn2
32,74,rhythm+harm,piccolotrumpet1
32,74,rhythm+harm,piccolotrumpet2
32,74,rhythm+harm,timpani
32,74,mel,violin1
32,74,mel,violin2
34,48,harm,flute
34,48,harm,oboe1
34,48,harm,oboe2
34,48,harm,bassoon1
34,48,harm,bassoon2
35,74,rhythm,viola
35,74,rhythm,violoncello
35,74,rhythm,doublebass
48,74,mel,flute
48,74,mel,oboe1
48,74,mel,oboe2
48,74,rhythm,bassoon1
48,74,rhythm,bassoon2
74,84,mel,oboe1
74,84,mel,oboe2
74,84,mel,bassoon1
74,84,mel,bassoon2
74,86,rhythm,horn1
74,86,rhythm,horn2
74,96,mel,violin1
74,108,mel,violin2
74,84,mel,viola
74,84,mel,violoncello
74,84,mel,doublebass
84,108,rhythm,oboe1
84,97,rhythm,oboe2
84,97,rhythm,bassoon1
84,97,rhythm,bassoon2
84,97,rhythm,viola
84,97,rhythm,violoncello
84,97,rhythm,doublebass
96,108,rhythm,horn1
96,108,rhythm,horn2
96,108,rhythm,piccolotrumpet1
96,108,rhythm,piccolotrumpet2
96,108,rhythm,timpani
96,106,rhythm,violin1
98,108,mel,flute
98,108,mel,oboe2
98,108,mel,bassoon1
98,108,mel,bassoon2
98,108,mel,viola
98,108,mel,violoncello
98,108,mel,doublebass
106,138,mel,violin1
108,117,rhythm+harm,flute
108,116,rhythm+harm,oboe1
108,117,rhythm+harm,oboe2
108,116,rhythm+harm,bassoon1
108,116,rhythm+harm,bassoon2
108,116,rhythm+harm,horn1
108,116,rhythm+harm,horn2
108,116,rhythm+harm,piccolotrumpet1
108,116,rhythm+harm,piccolotrumpet2
108,116,rhythm+harm,timpani
108,117,rhythm+harm,violin2
108,116,rhythm+harm,viola
108,116,rhythm+harm,violoncello
108,116,rhythm+harm,doublebass
116,124,mel,oboe1
