onset,offset,role,instrument
0,5,mel,flute
0,5,mel,oboe1
0,5,mel,oboe2
0,5,mel,bassoon1
0,5,mel,bassoon2
0,5,rhythm+harm,horn1
0,5,rhythm+harm,horn2
0,5,rhythm+harm,piccolotrumpet1
0,5,rhythm+harm,piccolotrumpet2
0,5,rhythm+harm,timpani
0,5,mel,violin1
0,5,mel,violin2
0,5,mel,viola
0,5,mel,violoncello
0,5,mel,doublebass
7,16,mel,violin1
8,16,harm,violin2
8,16,harm,viola
8,16,harm,violoncello
16,21,mel,flute
16,21,mel,oboe1
16,21,mel,oboe2
16,21,mel,bassoon1
16,21,mel,bassoon2
16,21,rhythm+harm,horn1
16,21,rhythm+harm,horn2
16,21,rhythm+harm,piccolotrumpet1
16,21,rhythm+harm,piccolotrumpet2
16,21,rhythm+harm,timpani
16,21,mel,violin1
16,21,mel,violin2
16,21,mel,viola
16,21,mel,violoncello
16,21,mel,doublebass
23,32,mel,violin1
24,32,harm,violin2
24,32,harm,viola
24,32,harm,violoncello
32,65,rhythm+harm,flute
32,65,rhythm+harm,oboe1
32,65,rhythm+harm,oboe2
32,65,rhythm+harm,bassoon1
32,65,rhythm+harm,bassoon2
32,65,rhythm+harm,horn1
32,65,rhythm+harm,horn2
32,65,rhythm+harm,piccolotrumpet1
32,65,rhythm+harm,piccolotrumpet2
32,56,rhythm,timpani
32,65,mel+rhythm+harm,violin1
32,65,mel,violin2
32,65,mel,viola
32,56,rhythm,violoncello
32,56,rhythm,doublebass
56,65,rhythm+harm,timpani
56,65,rhythm+harm,violoncello
56,65,rhythm+harm,doublebass
65,73,mel+rhythm,flute
65,73,mel+rhythm,oboe1
65,73,mel+rhythm,oboe2
65,73,mel+rhythm,bassoon1
65,73,mel+rhythm,bassoon2
65,73,mel+rhythm,horn1
65,73,mel+rhythm,horn2
65,73,mel,piccolotrumpet1
65,73,mel,piccolotrumpet2
65,73,rhythm,timpani
65,73,mel+rhythm,violin1
65,73,mel+rhythm,violin2
65,73,mel+rhythm,viola
65,73,mel+rhythm,violoncello
65,73,mel+rhythm,doublebass
73,80,rhythm+harm,flute
73,80,rhythm+harm,oboe1
73,80,rhythm+harm,oboe2
73,80,rhythm+harm,bassoon1
73,80,rhythm+harm,bassoon2
73,80,rhythm+harm,horn1
73,80,rhythm+harm,horn2
73,80,rhythm+harm,piccolotrumpet1
