onset,resolve time,offset,cadence type
12,8.5,20.5,HC
36,8.5,44.5,HC
48,24,72,HC
83,7.5,90.5,HC
104,10.5,114.5,HC
154,4,166.5,AC
193.5,0.5,196.25,AC
210,2,212.5,AC
222,4,226,HC
242,2,244.5,AC
222,2,224.5,AC
294,30,350,AC
376,6,384,AC
422,4,430,AC
454,4,462,AC
486,16,514,HC
542,4,548.5,AC
574,4,580,PC
654,16,678,AC
693,17,710.5,DC
733,4,737.5,AC
754,31,785,HC
810,8,818,HC
818,8,826,HC
878,4,882,HC
898,8,910,DC
960,2,963,AC
966,4,971,AC
979,10,989,HC
1021,5,1029,DC
1043,19.5,1062.5,HC
1110,104,1214,HC
1240,6,1247,AC
1276,2,1280,AC
1292,2,1296.5,AC
1320,6,1328.5,AC
1362,4,1410,PC
