onset,offset,role
0,12,harm
121,145,rhythm+harm
145,177,mel
177,189,harm
298,322,rhythm+harm
322,354,mel
367,378,mel
379,388,mel+harm
403,415,mel+harm
450,471,mel
495,531,harm
531,543,mel
543,564,mel
564,576,rhythm
576,597,rhythm
606,610,mel
612,624,mel
655,661,harm
702,797,rhythm+harm
891,939,rhythm+harm
1032,1080,rhythm+harm
1107,1119,harm
1228,1252,rhythm+harm
1252,1284,mel
1297,1308,mel
1309,1318,mel+harm
1333,1345,mel+harm
1380,1401,mel
1425,1461,harm
1461,1473,mel
1473,1494,mel
1494,1506,rhythm
1506,1527,rhythm
1596,1602,mel
1614,1626,mel
1626,1651,harm
1683,1684,rhythm
