onset,Unnamed: 0,offset,midi_number,pitch_name,duration,staff,measure,beat_in_measure,instrument
144.0,0,145.0,76,G---5,1.0,0,49,1.0,trumpet1
146.0,1,147.0,76,G---5,1.0,0,49,3.0,trumpet1
148.0,2,148.5,76,G---5,0.5,0,50,2.0,trumpet1
148.5,3,149.0,76,G---5,0.5,0,50,2.5,trumpet1
149.0,4,150.0,76,G---5,1.0,0,50,3.0,trumpet1
150.0,5,151.0,76,G---5,1.0,0,51,1.0,trumpet1
152.0,6,153.0,76,G---5,1.0,0,51,3.0,trumpet1
154.0,7,154.5,76,G---5,0.5,0,52,2.0,trumpet1
154.5,8,155.0,76,G---5,0.5,0,52,2.5,trumpet1
155.0,9,156.0,76,G---5,1.0,0,52,3.0,trumpet1
156.0,10,157.0,76,G---5,1.0,0,53,1.0,trumpet1
158.0,11,159.0,76,G---5,1.0,0,53,3.0,trumpet1
160.0,12,160.5,76,G---5,0.5,0,54,2.0,trumpet1
160.5,13,161.0,76,G---5,0.5,0,54,2.5,trumpet1
161.0,14,162.0,76,G---5,1.0,0,54,3.0,trumpet1
162.0,15,163.0,76,G---5,1.0,0,55,1.0,trumpet1
164.0,16,165.0,76,G---5,1.0,0,55,3.0,trumpet1
165.0,17,165.5,76,G---5,0.5,0,56,1.0,trumpet1
165.5,18,166.0,76,G---5,0.5,0,56,1.5,trumpet1
166.0,19,167.0,76,G---5,1.0,0,56,2.0,trumpet1
167.0,20,168.0,76,G---5,1.0,0,56,3.0,trumpet1
168.0,21,168.5,76,G---5,0.5,0,57,1.0,trumpet1
168.5,22,169.0,76,G---5,0.5,0,57,1.5,trumpet1
169.0,23,170.0,76,G---5,1.0,0,57,2.0,trumpet1
170.0,24,171.0,76,G---5,1.0,0,57,3.0,trumpet1
171.0,25,171.5,76,G---5,0.5,0,58,1.0,trumpet1
171.5,26,172.0,76,G---5,0.5,0,58,1.5,trumpet1
172.0,27,173.0,76,G---5,1.0,0,58,2.0,trumpet1
173.0,28,174.0,76,G---5,1.0,0,58,3.0,trumpet1
174.0,29,175.0,76,G---5,1.0,0,59,1.0,trumpet1
321.0,30,322.0,76,G---5,1.0,0,108,1.0,trumpet1
323.0,31,324.0,76,G---5,1.0,0,108,3.0,trumpet1
325.0,32,325.5,76,G---5,0.5,0,109,2.0,trumpet1
325.5,33,326.0,76,G---5,0.5,0,109,2.5,trumpet1
326.0,34,327.0,76,G---5,1.0,0,109,3.0,trumpet1
327.0,35,328.0,76,G---5,1.0,0,110,1.0,trumpet1
329.0,36,330.0,76,G---5,1.0,0,110,3.0,trumpet1
331.0,37,331.5,76,G---5,0.5,0,111,2.0,trumpet1
331.5,38,332.0,76,G---5,0.5,0,111,2.5,trumpet1
332.0,39,333.0,76,G---5,1.0,0,111,3.0,trumpet1
333.0,40,334.0,76,G---5,1.0,0,112,1.0,trumpet1
335.0,41,336.0,76,G---5,1.0,0,112,3.0,trumpet1
337.0,42,337.5,76,G---5,0.5,0,113,2.0,trumpet1
337.5,43,338.0,76,G---5,0.5,0,113,2.5,trumpet1
338.0,44,339.0,76,G---5,1.0,0,113,3.0,trumpet1
339.0,45,340.0,76,G---5,1.0,0,114,1.0,trumpet1
341.0,46,342.0,76,G---5,1.0,0,114,3.0,trumpet1
342.0,47,342.5,76,G---5,0.5,0,115,1.0,trumpet1
342.5,48,343.0,76,G---5,0.5,0,115,1.5,trumpet1
343.0,49,344.0,76,G---5,1.0,0,115,2.0,trumpet1
344.0,50,345.0,76,G---5,1.0,0,115,3.0,trumpet1
345.0,51,345.5,76,G---5,0.5,0,116,1.0,trumpet1
345.5,52,346.0,76,G---5,0.5,0,116,1.5,trumpet1
346.0,53,347.0,76,G---5,1.0,0,116,2.0,trumpet1
347.0,54,348.0,76,G---5,1.0,0,116,3.0,trumpet1
348.0,55,348.5,76,G---5,0.5,0,117,1.0,trumpet1
348.5,56,349.0,76,G---5,0.5,0,117,1.5,trumpet1
349.0,57,350.0,76,G---5,1.0,0,117,2.0,trumpet1
350.0,58,351.0,76,G---5,1.0,0,117,3.0,trumpet1
351.0,59,352.0,76,G---5,1.0,0,118,1.0,trumpet1
451.0,60,452.0,71,D---5,1.0,0,151,2.0,trumpet1
454.0,61,455.0,71,D---5,1.0,0,152,2.0,trumpet1
457.0,62,458.0,71,D---5,1.0,0,153,2.0,trumpet1
460.0,63,461.0,71,D---5,1.0,0,154,2.0,trumpet1
463.0,64,464.0,71,D---5,1.0,0,155,2.0,trumpet1
466.0,65,467.0,71,D---5,1.0,0,156,2.0,trumpet1
469.0,66,470.0,71,D---5,1.0,0,157,2.0,trumpet1
499.0,67,499.5,64,G---4,0.5,0,167,2.0,trumpet1
499.5,68,500.0,64,G---4,0.5,0,167,2.5,trumpet1
500.0,69,501.0,64,G---4,1.0,0,167,3.0,trumpet1
501.0,70,502.0,63,F--4,1.0,0,168,1.0,trumpet1
502.0,71,503.0,63,F--4,1.0,0,168,2.0,trumpet1
505.0,72,505.5,65,G--4,0.5,0,169,2.0,trumpet1
505.5,73,506.0,65,G--4,0.5,0,169,2.5,trumpet1
506.0,74,507.0,65,G--4,1.0,0,169,3.0,trumpet1
507.0,75,508.0,64,G---4,1.0,0,170,1.0,trumpet1
508.0,76,509.0,64,G---4,1.0,0,170,2.0,trumpet1
511.0,77,511.5,66,A---4,0.5,0,171,2.0,trumpet1
511.5,78,512.0,66,A---4,0.5,0,171,2.5,trumpet1
512.0,79,513.0,66,A---4,1.0,0,171,3.0,trumpet1
513.0,80,514.0,65,G--4,1.0,0,172,1.0,trumpet1
515.0,81,515.5,71,D---5,0.5,0,172,3.0,trumpet1
515.5,82,516.0,71,D---5,0.5,0,172,3.5,trumpet1
516.0,83,517.0,66,A---4,1.0,0,173,1.0,trumpet1
518.0,84,518.5,72,D--5,0.5,0,173,3.0,trumpet1
518.5,85,519.0,72,C5,0.5,0,173,3.5,trumpet1
519.0,86,520.0,67,B----4,1.0,0,174,1.0,trumpet1
521.0,87,521.5,73,E---5,0.5,0,174,3.0,trumpet1
521.5,88,522.0,73,D-5,0.5,0,174,3.5,trumpet1
522.0,89,523.0,68,B---4,1.0,0,175,1.0,trumpet1
524.0,90,524.5,74,F---5,0.5,0,175,3.0,trumpet1
524.5,91,525.0,74,E--5,0.5,0,175,3.5,trumpet1
525.0,92,528.0,69,C---5,3.0,0,176,1.0,trumpet1
528.0,93,531.5,71,D---5,3.5,0,177,1.0,trumpet1
532.0,94,538.0,78,A---5,6.0,0,178,2.0,trumpet1
540.0,95,541.0,71,D---5,1.0,0,181,1.0,trumpet1
541.0,96,541.5,71,D---5,0.5,0,181,2.0,trumpet1
541.5,97,542.0,71,D---5,0.5,0,181,2.5,trumpet1
542.0,98,543.0,71,D---5,1.0,0,181,3.0,trumpet1
543.0,99,546.0,76,G---5,3.0,0,182,1.0,trumpet1
547.0,100,547.5,76,G---5,0.5,0,183,2.0,trumpet1
547.5,101,548.0,76,G---5,0.5,0,183,2.5,trumpet1
548.0,102,549.0,76,G---5,1.0,0,183,3.0,trumpet1
549.0,103,550.0,76,G---5,1.0,0,184,1.0,trumpet1
550.0,104,551.0,76,G---5,1.0,0,184,2.0,trumpet1
553.0,105,554.0,76,G---5,1.0,0,185,2.0,trumpet1
554.0,106,555.0,76,G---5,1.0,0,185,3.0,trumpet1
555.0,107,555.5,76,G---5,0.5,0,186,1.0,trumpet1
555.5,108,556.0,76,G---5,0.5,0,186,1.5,trumpet1
556.0,109,557.0,76,G---5,1.0,0,186,2.0,trumpet1
559.0,110,559.5,76,G---5,0.5,0,187,2.0,trumpet1
559.5,111,560.0,76,G---5,0.5,0,187,2.5,trumpet1
560.0,112,561.0,76,G---5,1.0,0,187,3.0,trumpet1
561.0,113,562.0,76,G---5,1.0,0,188,1.0,trumpet1
562.0,114,563.0,76,G---5,1.0,0,188,2.0,trumpet1
564.0,115,565.0,76,G---5,1.0,0,189,1.0,trumpet1
565.0,116,565.5,76,G---5,0.5,0,189,2.0,trumpet1
565.5,117,566.0,76,G---5,0.5,0,189,2.5,trumpet1
566.0,118,567.0,76,G---5,1.0,0,189,3.0,trumpet1
567.0,119,568.0,76,G---5,1.0,0,190,1.0,trumpet1
568.0,120,568.5,76,G---5,0.5,0,190,2.0,trumpet1
568.5,121,569.0,76,G---5,0.5,0,190,2.5,trumpet1
569.0,122,570.0,76,G---5,1.0,0,190,3.0,trumpet1
570.0,123,571.0,76,G---5,1.0,0,191,1.0,trumpet1
571.0,124,571.5,76,G---5,0.5,0,191,2.0,trumpet1
571.5,125,572.0,76,G---5,0.5,0,191,2.5,trumpet1
572.0,126,573.0,76,G---5,1.0,0,191,3.0,trumpet1
573.0,127,574.0,76,G---5,1.0,0,192,1.0,trumpet1
574.0,128,574.5,76,G---5,0.5,0,192,2.0,trumpet1
574.5,129,575.0,76,G---5,0.5,0,192,2.5,trumpet1
575.0,130,576.0,76,G---5,1.0,0,192,3.0,trumpet1
576.0,131,577.0,76,G---5,1.0,0,193,1.0,trumpet1
579.0,132,580.0,76,G---5,1.0,0,194,1.0,trumpet1
582.0,133,583.0,76,G---5,1.0,0,195,1.0,trumpet1
585.0,134,586.0,76,G---5,1.0,0,196,1.0,trumpet1
588.0,135,589.0,76,G---5,1.0,0,197,1.0,trumpet1
594.0,136,595.0,76,G---5,1.0,0,199,1.0,trumpet1
891.0,137,892.5,76,F-5,1.5,0,298,1.0,trumpet1
892.5,138,893.0,76,F-5,0.5,0,298,2.5,trumpet1
893.0,139,893.5,76,F-5,0.5,0,298,3.0,trumpet1
894.0,140,895.5,76,F-5,1.5,0,299,1.0,trumpet1
895.5,141,896.0,76,F-5,0.5,0,299,2.5,trumpet1
896.0,142,896.5,76,F-5,0.5,0,299,3.0,trumpet1
897.0,143,901.5,76,F-5,4.5,0,300,1.0,trumpet1
901.5,144,902.0,76,F-5,0.5,0,301,2.5,trumpet1
902.0,145,902.5,76,F-5,0.5,0,301,3.0,trumpet1
903.0,146,904.5,76,F-5,1.5,0,302,1.0,trumpet1
904.5,147,905.0,76,F-5,0.5,0,302,2.5,trumpet1
905.0,148,905.5,76,F-5,0.5,0,302,3.0,trumpet1
906.0,149,907.5,71,C-5,1.5,0,303,1.0,trumpet1
907.5,150,908.0,71,C-5,0.5,0,303,2.5,trumpet1
908.0,151,908.5,71,C-5,0.5,0,303,3.0,trumpet1
