onset,offset,role
36,44,rhythm+harm
76,92,harm
116,124,mel
124,130,rhythm+harm
340,348,mel
348,352,rhythm
352,356,rhythm+harm
390,406,harm
430,438,mel
438,444,rhythm+harm
654,662,mel
662,666,rhythm
666,668,rhythm+harm
738,747,mel
754,762,mel
762,770,rhythm+harm
778,786,mel
786,794,rhythm+harm
794,802,mel
802,826,rhythm+harm
826,843,harm
888,904,harm
904,910,rhythm+harm
996,1004,harm
1104,1108,harm
1108,1120,mel
1120,1128,rhythm+harm
1128,1136,harm
1136,1180,rhythm+harm
1180,1184,rhythm
1184,1192,mel
1192,1200,rhythm
1200,1210,rhythm+harm
