onset,offset,key,degree,quality,inversion,roman number
0,1,e,1,m,0,i
1,2,e,5,m,1,v
2,3,e,6,M,0,VI
3,4,e,3,M,1,III6
4,5,e,4,m,0,iv
5,5.25,e,1,m,0,i
5.5,5.75,e,2,h7,1,ii65
6,6.25,e,1,m,0,i
10,10.5,e,1,m,0,i
10.5,11,e,5,m,1,v6
11,11.5,e,2,h7,2,ii43
11.5,12,e,5,M,0,V
12,12.5,e,2,h7,0,ii7/III
12.5,13,e,1,M,1,i6/III
13.5,14,e,5,M,1,v6/III
14,15,e,6,m,0,vi/III
15,15.5,e,5,D7,3,V2/III
15.5,16,e,1,M,1,I6/III
16,16.5,e,5,M,0,V/III
18,28,e,7,d7,1,vii-65/iii
28,30,e,3,M,0,III/iii
30,32,e,5/3/3,d7,0,v-7/III/iii
32,34,e,7/7/3,d7,0,vii-7/viio/iii
34,36,e,3,M,0,III
36,40,e,5,M,0,V
40,42,e,5/2,D7,0,V7/II
42,42.125,e,1,m,2,i64
42.5,42.625,e,5,M,0,V
46,50,e,1,m,0,i
50,52,e,6,M,0,VI
52,54,e,1,m,0,i
54,55.5,e,1,m,0,i
55.5,56,e,5,M,0,V
56,57.5,e,1,m,0,i
57.5,58,e,5,M,0,V
58,59.5,e,1,m,0,i
59.5,60,e,5,M,0,V
60,62,e,1,m,0,i
62,66,e,1,m,0,i
66,68,e,6,M,0,VI
68,70,e,1/3,M,0,I/III
70,71.5,e,1/3,M,0,I/III
71.5,72,e,5/3,M,0,V/III
72,73.5,e,1/3,M,0,I/III
73.5,74,e,5/3,M,0,V/III
74,75.5,e,1/3,M,0,I/III
75.5,76,e,5/3,M,0,V/III
76,80,e,5,M,0,V
80,84,e,2,h7,3,ii2
84,88,e,5,M,2,V6
88,92,e,4,m,0,iv
92,96,e,2,m,1,ii6
96,104,e,4,m,0,iv
104,108,e,2,h7,1,ii65
108,112,e,1,m,0,i
112,116,e,5,M,0,V
116,120,e,1,m,0,i
120,122,e,6,M,0,VI
122,124,e,1,m,0,i
124,125.5,e,1,m,0,i
125.5,126,e,5,M,0,V
126,127.5,e,1,m,0,i
127.5,128,e,5,M,0,V
128,130,e,1,m,0,i
130,132,e,1,m,0,i
132,136,e,4,m,0,iv
136,140,e,5/3,M,0,V/III
140,144,e,3,M,0,III
144,154,e,1,m,0,i
154,156,e,6,M,0,VI
156,158,e,5,M,0,v
158,160,e,7,h7,2,vii=43
160,162,e,6/4,d7,0,vii-7/iv
162,164,e,4,m,0,iv
164,166,e,6/4,d7,0,vii-7/iv
166,168,e,4,m,0,iv
168,170,e,6/4,d7,0,vii-7/iv
170,172,e,4,m,0,iv
172,180,g,6,M,0,VI
180,182,g,1,m,0,i
182,184,g,5,D7,0,V7
184,186,g,1,m,0,i
186,187,g,3,M,0,III
187,188,g,1,m,0,i
188,190,g,1,m,0,i
190,192,g,5,d7,0,V7
192,194,g,1,m,0,i
194,195,g,3,M,0,III
195,196,g,1,m,0,i
196,202,g,1,m,0,i
202,203,g,3,M,0,III
203,204,g,1,m,0,i
204,210,g,1,m,0,i
210,211,g,3,M,0,III
211,212,g,1,m,0,i
212,214,g,1,m,0,i
214,216,g,2,h7,0,II7
216,218,g,3,M,0,III
218,220,g,4,m,0,iv
220,224,a,7,d7,1,vii-6
224,228,a,2/4,m,2,iii64/V
228,232,a,5,D7,0,V7
232,234,a,1,m,0,i
232,234,a,6,M7,0,VI7
234,236,a,3,M,0,III
236,238,a,1,m,0,i
240,246,a,5,M,0,V
246,252,e,1,m,0,i
256,258,G,1,M,2,I64
258,260,G,4,M,1,IV6
260,264,G,1,M,2,I64
264,272,G,6,m,0,vi
272,274,G,1,M,2,I64
274,276,G,6,M,1,IV6
276,288,G,1,M,2,I64
288,289,G,1,M,2,I64
289,290,G,2,m,0,ii
290,291,G,1,M,2,I64
291,292,G,2,m,0,ii
292,293,G,1,M,2,I64
293,293.5,G,2,m,0,ii
293.5,294,G,4,M,0,IV
294,295,G,1,M,2,I64
295,296,G,5,D7,3,V2
296,300,G,1,M,0,I
300,302,G,6,m,0,vi
302,304,G,3,m,0,iii
304,306,G,5,D7,0,V7
306,316,G,1,M,0,I
316,318,G,6,m,0,vi
318,320,G,3,m,0,iii
320,322,G,5,D7,0,V7
322,324,G,1,M,0,I
324,326,G,5,D7,0,V7
326,328,G,1,M,1,I6
328,330,G,5,D7,0,V7
330,332,G,1,M,1,I6
332,336,G,2,m7,0,ii7
336,340,G,5,D7,0,V7
340,350,G,1,M,0,I
350,351.5,G,1,M,0,I
351.5,352,G,5,D7,0,V7
352,352.5,G,1,M,0,I
353,353.5,e,5,D7,0,V7
354,360,e,5,D7,0,V7
360,364,e,1,m,0,i
364,366,e,6,M,0,VI
366,368,e,1,m,0,i
368,369.5,e,1,m,0,i
369.5,370,e,5,M,0,V
370,371.5,e,1,m,0,i
371.5,372,e,5,M,0,V
372,373.5,e,1,m,0,i
373.5,374,e,5,M,0,V
374,376,e,1,m,0,i
376,380,e,1,m,0,i
380,382,e,6,M,0,VI
382,384,e,1/3,M,0,I/III
384,385.5,e,1/3,M,0,I/III
385.5,386,e,5/3,M,0,V/III
386,387.5,e,1/3,M,0,I/III
387.5,388,e,5/3,M,0,V/III
388,389.5,e,1/3,M,0,I/III
389.5,390,e,5/3,M,0,V/III
390,394,e,5,M,0,V
394,398,e,2,h7,3,ii2
398,402,e,5,M,2,V6
402,406,e,4,m,0,iv
406,410,e,2,m,1,ii6
410,418,e,4,m,0,iv
418,422,e,2,h7,1,ii65
422,426,e,1,m,0,i
426,430,e,5,M,0,V
430,434,e,1,m,0,i
434,436,e,6,M,0,VI
436,438,e,1,m,0,i
438,439.5,e,1,m,0,i
439.5,440,e,5,M,0,V
440,441.5,e,1,m,0,i
441.5,442,e,5,M,0,V
442,444,e,1,m,0,i
444,446,e,1,m,0,i
446,450,e,4,m,0,iv
450,454,e,5/3,M,0,V/III
454,458,e,3,M,0,III
458,468,e,1,m,0,i
468,470,e,6,M,0,VI
470,472,e,5,M,0,v
472,474,e,7,h7,2,vii=43
474,476,e,7/4,d7,0,vii-7/iv
476,478,e,4,m,0,iv
478,480,e,7/4,d7,0,vii-7/iv
480,482,e,4,m,0,iv
482,484,e,7/4,d7,0,vii-7/iv
484,486,e,4,m,0,iv
486,494,g,6,M,0,VI
494,496,g,1,m,0,i
496,498,g,5,D7,0,V7
498,500,g,1,m,0,i
500,501,g,3,M,0,III
501,502,g,1,m,0,i
502,504,g,1,m,0,i
504,506,g,5,d7,0,V7
506,508,g,1,m,0,i
508,509,g,3,M,0,III
509,510,g,1,m,0,i
510,516,g,1,m,0,i
516,517,g,3,M,0,III
517,518,g,1,m,0,i
518,524,g,1,m,0,i
524,525,g,3,M,0,III
525,526,g,1,m,0,i
526,528,g,1,m,0,i
528,530,g,2,h7,0,II7
530,532,g,3,M,0,III
532,534,g,4,m,0,iv
534,538,a,7,d7,1,vii-6
538,542,a,3/5,m,2,iii64/V
542,546,a,5,D7,0,V7
546,548,a,1,m,0,i
546,548,a,6,M7,0,VI7
548,550,a,3,M,0,III
550,552,a,1,m,0,i
554,560,a,5,M,0,V
560,566,e,1,m,0,i
570,572,G,1,M,2,I64
572,574,G,4,M,1,IV6
574,578,G,1,M,2,I64
578,586,G,6,m,0,vi
586,588,G,1,M,2,I64
588,590,G,6,M,1,IV6
590,602,G,1,M,2,I64
602,603,G,1,M,2,I64
603,604,G,2,m,0,ii
604,605,G,1,M,2,I64
605,606,G,2,m,0,ii
606,607,G,1,M,2,I64
607,607.5,G,2,m,0,ii
607.5,608,G,4,M,0,IV
608,609,G,1,M,2,I64
609,610,G,5,D7,3,V2
610,614,G,1,M,0,I
614,616,G,6,m,0,vi
616,618,G,3,m,0,iii
618,620,G,5,D7,0,V7
620,630,G,1,M,0,I
630,632,G,6,m,0,vi
632,634,G,3,m,0,iii
634,636,G,5,D7,0,V7
636,638,G,1,M,0,I
638,640,G,5,D7,0,V7
640,642,G,1,M,1,I6
642,644,G,5,D7,0,V7
644,646,G,1,M,1,I6
646,650,G,2,m7,0,ii7
650,654,G,5,D7,0,V7
654,664,G,1,M,0,I
664,665.5,G,1,M,0,I
665.5,666,G,5,D7,0,V7
666,690,G,1,a,0,I+
690,706,E,1,M,0,I
706,707.5,E,1,M,0,I
707.5,708,E,5,M,0,V
708,709.5,E,1,M,0,I
709.5,710,E,5,M,0,V
710,711.5,E,6,m,0,vi
711.5,712,E,3,m,0,iii
712,713.5,E,6,m,0,vi
713.5,714,E,3,m,0,iii
714,722,E,4,M,0,IV
722,730,a,1,m,0,i
730,738,F,1,M,0,I
738,746,f#,7/5,d,0,vii-/V
746,754,f#,1,m,2,i64
754,768,f#,7/6,d7,0,vii-7/vi
768,772,f#,6,m,0,vi
772,780,e,7,d7,3,vii-2
780,788,e,3/5,d7,0,iii-7/v
788,796,e,5,m,0,v
796,802,e,1,m,0,i
802,810,f,5,M,2,V64
810,811,f,1,m,0,i
811.5,812,f,5,M,0,V
812,813,f,1,m,0,i
813.5,814,f,5,M,0,V
814,815,f,6,M,1,VI6
815.5,816,f,1,m,0,i
816,828,f,5/2,D7,1,V65/ii
828,834,f,7/7,h7,0,vii-7/vii
834,842,f,3/7,M7,3,III2/vii
842,850,f,3,M7,0,III7
850,858,e,5,M,0,V
858,866,e,1,m,0,i
866,867,e,1,m,0,i
867.5,868,e,5,M,0,V
868,869,e,1,m,0,i
869.5,870,e,5,M,0,V
870,871,e,1,m,0,i
871.5,872,e,5,M,0,V
872,878,e,1,m,0,i
878,880,e,6,M,0,VI
880,882,e,3,M,0,III
882,883,e,3,M,0,III
883.5,884,e,5,M,0,V/III
884,885,e,3,M,0,III
885.5,886,e,5,M,0,V/III
886,887,e,3,M,0,III
887.5,888,e,5,M,0,V/III
888,892,e,5,M,0,V
892,896,e,3/5,h7,0,iii-7/v
896,900,A,1,M,1,I6
900,908,A,7,d,1,vii-6
908,936,A,5,D7,0,V7
936,939,g#,1,m,2,i64
939,940,g#,5,m,0,v
940,942,g#,1,m,0,i
942,943,g#,5,m,0,v
943,946,g#,1,m,0,i
946,950,g#,5,m7,0,v7
950,951,g#,5,m,0,v
951,952,g#,1,m,0,i
952,966,g#,1,m,0,i
966,967,g#,5,m,0,v
967,970,g#,1,m,0,i
970,972,g#,2,h7,0,ii7
972,974,g#,1,m,0,i
974,976,g#,4,m,0,iv
976,984,a,1,m,0,i
984,988,a,6,M,0,VI
988,990,f,4,m,0,iv
990,992,f,6,M,0,VI
992,994,f,4,m,0,iv
994,1004,F,1,M,0,I
1004,1012,f,1,m,0,i
1012,1016,Ab,1,M,0,I
1016,1018,Ab,1,M,2,I64
1018,1020,Ab,5,D7,0,V7
1020,1028,Ab,6,m,0,vi
1028,1030,Ab,1,M,2,I64
1030,1032,Ab,4,M,0,IV
1032,1034,Ab,1,M,2,I64
1034,1036,Ab,5,M,0,V
1036,1038,Ab,1,M,2,I64
1038,1044,Ab,5,M,0,V
1044,1045,Ab,1,M,2,I64
1045,1046,Ab,2,m,0,ii
1046,1047,Ab,1,M,2,I64
1047,1048,Ab,2,m,0,ii
