onset,offset,role
12,16,harm
28,32,harm
47,49,harm
73,76,harm
77,120,rhythm
130,136,harm
138,140,harm
158,160,harm
160,169,rhythm
174,176,mel
176,185,rhythm
186,193,mel
193,201,rhythm
202,208,mel
208,280,rhythm
280,305,rhythm
306,309,harm
310,316,rhythm
316,320,harm
320,352,rhythm
352,360,rhythm+harm
360,369,harm
371,380,mel+rhythm
380,390,harm
390,400,rhythm
400,406,harm
406,416,rhythm
416,422,harm
422,432,rhythm
432,446,harm
446,473,rhythm
474,477,harm
477,484,rhythm
484,489,harm
489,512,rhythm
512,520,harm
520,527,mel+rhythm
526,532,rhythm
532,536,harm
536,543,mel+rhythm
542,551,harm
551,557,rhythm
557,584,harm
598,601,harm
624,672,rhythm
682,688,rhythm
690,692,harm
710,721,rhythm
726,728,harm
728,740,rhythm
740,744,mel
744,753,rhythm
756,760,mel
760,768,rhythm
768,772,mel
772,776,harm
780,833,harm
840,845,mel+rhythm
846,852,harm
852,881,rhythm
881,913,mel
913,1001,harm
1001,1015,mel+rhythm
1022,1064,rhythm
1064,1094,harm
1094,1127,rhythm
1127,1212,harm
1212,1244,mel+rhythm
1244,1259,mel
1259,1292,rhythm
1292,1301,rhythm+harm
1301,1316,harm
1316,1348,rhythm
1348,1364,mel
1364,1388,harm
